Geneid,WT1-BL_S30_L001,WT1-BL_S30_L002,WT2-BL_S31_L001,WT2-BL_S31_L002,WT3-BL_S32_L001,WT3-BL_S32_L002,atpA1-BL_S33_L001,atpA1-BL_S33_L002,atpA2-BL_S34_L001,atpA2-BL_S34_L002,atpA3-BL_S35_L001,atpA3-BL_S35_L002
b2005,1.7105970406393107,2.041016275773704,1.8802407825690295,1.6874012837619699,0.9512195274532771,1.2708540494508196,1.2324869772935187,1.4143223807941154,1.0609775785767397,1.7443999330497504,1.5284630335370712,1.945718540706019
b2006,2.583885323465901,2.5957677545057343,2.3054405414009387,2.5560104189912902,2.4562834938128266,2.006952939156322,2.985796475945881,2.888533586021972,3.315188103271212,3.5666585441167875,3.165764671676603,2.9226205871164104
b4642,0.5577390913816895,0.0,0.938864998023844,0.5470759729566562,0.0,0.0,0.0,0.5261707888929601,0.537186563661476,0.541548385665167,0.6303142941546722,0.0
b4538,3.467525147272419,3.5457775751695886,3.729043607881606,3.437067443402514,2.8500596013591184,3.1828721996237883,3.996872183754249,4.2335183174242195,4.255113815565359,4.126020211503637,4.004194906163186,3.8056164393210974
b2007,8.71546163671766,8.659616101612533,8.622941194242085,8.719520425887673,7.741767251080215,7.745252717446849,9.158766607859127,9.174120190826963,9.467976819908182,9.472930826616832,9.40610112833486,9.406954233343598
b4818,5.571601843265594,5.392025084117526,5.252185444094148,5.345411758373959,4.771466606990221,5.058512594266384,5.597427684406267,5.706175159363182,5.942028310909171,6.223864453706927,6.163486253614407,5.998156974376382
b2008,3.630313347757582,3.8893431896107677,3.924719899694789,3.8892753366976858,3.4844372938063657,3.755874571763277,3.603128069091903,3.4766817519241267,3.6735913076805975,3.7172433038455597,3.7528217646878885,3.4725135208360918
b2009,3.7366826262440878,3.907828026496136,4.126933810445187,4.1852973496586445,3.046534083725211,3.295591078540154,4.354589311265754,4.525975820500362,4.626220873792171,4.610650561810654,4.661370889079504,4.482985842201277
b2010,3.2875663550974545,3.4539240527462116,3.437309996826805,3.4648693775965445,2.7759804359180356,2.984014381782129,3.560060874209046,3.3770147883421058,3.7189663977012843,3.7264146644267075,3.558337907220104,3.7641818930458792
b2011,5.755904079270277,5.8036470466890595,5.694348609998412,5.736600341529038,4.903372433213422,4.8161258616282465,5.968865089709721,5.965881812113376,6.085731547099619,5.978560817117488,5.905663270754847,5.831050583474942
